building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage,rooms,latitude,longitude,distance_wh,distance_cap,zscore_price
1819 GALES STREET NE,"1819 Gales Street NE, Washington, DC",Nice Townhome close to Eastern Market. minutes away from 395 and downtown DC. 3 BR 1 BA. updated kitchen and new hardwood floors. Nice fenced in back yard. Can also be used as parking. Shed included with property to use as storage.,1,3 Bedrooms,1950,884,4,38.8976175,-76.9773969,5035,2830,-0.343761304757778
1126 25TH STREET NW,"1126 25th Street Northwest, Washington, DC","Masterfully renovated ground unit in the heart of NW. 2 bedroom 2 bath. Master bedroom has walk in closet and recently remodeled bathroom. Open kitchen, living room, dining room space. Large front patio area.",1,2 Bedrooms,2900,966,3,38.9046589,-77.0534438,1725,4219,0.28057747072266975
3690 38TH STREET NW,"3690 38th Street Northwest, Washington, DC","1 BR + DEN, 1.5 BA DUPLEX CONDO in Mclean Gardens. Wood flooring, updated kitchen, spiral staircase, walk in closet, in-unit washer/dryer, spacious bedroom + bonus den with pocket door and window.",1,1 Bedroom,2150,863,2,38.9392112,-77.07593709999998,5762,7996,-0.21232156255136794
1794 LANIER PLACE NW,"1794 Lanier Place Northwest, Washington, DC",Three words: Private roof deck.,1,1 Bedroom,1651,719,2,38.92363659999999,-77.0430906,2915,4783,-0.540263719356361
1794 LANIER PLACE NW,"1794 Lanier Place Northwest, Washington, DC",Three words: Private roof deck.,1,2 Bedrooms,3600,941,3,38.92363659999999,-77.0430906,2915,4783,0.7406165684451049
1325 13TH STREET NW,"1325 13th Street Northwest, Washington, DC","Classy Logan Circle renovated, spacious and sunny top-floor 1 BR in the Iowa!Historic Beaux Arts building; walking distance to Shaw/Blagden Alley, U Street, 14th Street, Dupont Circle, Whole Foods, Trader Joe~s, the White House, metro stops, ",1,1 Bedroom,2600,630,2,38.9083207,-77.02932229999998,1256,2713,0.08341785741305469
1325 13TH STREET NW,"1325 13th Street Northwest, Washington, DC","Classy Logan Circle renovated, spacious and sunny top-floor 1 BR in the Iowa!Historic Beaux Arts building; walking distance to Shaw/Blagden Alley, U Street, 14th Street, Dupont Circle, Whole Foods, Trader Joe~s, the White House, metro stops, ",1,2 Bedrooms,2320,1106,3,38.9083207,-77.02932229999998,1256,2713,-0.10059778167591939
1325 13TH STREET NW,"1325 13th Street Northwest, Washington, DC","Classy Logan Circle renovated, spacious and sunny top-floor 1 BR in the Iowa!Historic Beaux Arts building; walking distance to Shaw/Blagden Alley, U Street, 14th Street, Dupont Circle, Whole Foods, Trader Joe~s, the White House, metro stops, ",1,3 Bedrooms,2872,1714,4,38.9083207,-77.02932229999998,1256,2713,0.26217590681377234
3201 BUENA VISTA TERRACE SE,"3201 Buena Vista Terrace Southeast, Washington, DC","Newly renovated building! 3 bedroom 1 bathroom apartment with stainless steel appliance, dishwasher, dual washer/dryer with central heating and cool and large backyard in the Randle Heights neighborhood.",1,3 Bedrooms,2147,3600,4,38.8511491,-76.96702900000003,7896,5623,-0.21429315868446408
1931 17TH STREET NW,"1931 17th Street Northwest, Washington, DC","Available Immediately! Sunny 1BD/1BA corner unit with tons of charm! Top floor unit w/skylights, plantation shutters, wood-burning fireplace  & built-in bookcases. The kitchen opens to living room.",1,1 Bedroom,2000,504,2,38.91649719999999,-77.0380509,2059,3895,-0.31090136920617545
1200 SHEPHERD STREET NW,"1200 Shepherd Street Northwest, Washington, DC","Spectacular and spacious Petworth 3BR/3.5 BA end-unit row home on three levels with great light and large yard--close to restaurants, coffee shops, grocery store, transportation (7 minute walk to Metro), and more.",1,3 Bedrooms,3975,1506,4,38.93961820000001,-77.0278797,4659,5752,0.9870660850821238
3930 ALABAMA AVENUE SE,"3930 Alabama Avenue Southeast, Washington, DC",Newly renovated in 2020. This home is move-in ready and available immediately for rent. Featuring 4 bedrooms and two full baths. No expense has been spared in its renovation including the hardwood floors and brand new bathrooms and kitchen.,1,4 Bedrooms,2350,1540,5,38.8691296,-76.94852990000003,8196,5702,-0.08088182034495787
4408 1ST PLACE NE,"4408 1st Place Northeast, Washington, DC","Spacious apartment with large living room and bedroom. Nicely upgraded kitchen. Location, Location, Location!!!  Secured building entrance. Please follow Covid-19 guidelines. No more than 3 people including the agent are allowed at one time.",1,1 Bedroom,1350,594,2,38.9440936,-77.00692560000002,5677,6001,-0.7380805313770081
2101 11TH STREET NW,"2101 11th Street Northwest, Washington, DC","Phenomenally sunny apartment with incredible city views!  Stainless steel appliances, in-unit washer/dryer, hardwood floors, balcony, beautiful roof deck, and garage parking included.",1,2 Bedrooms,3200,816,3,38.9183182,-77.0266802,2373,3510,0.4777370840322848
504 C STREET NE,"504 C Street Northeast, Washington, DC","Built in 2018. Functional & flexible live/work residential unit built to the highest possible standards.  Master-crafted, high quality, luxury finishes throughout.",1,2 Bedrooms,5000,1349,3,38.894286,-76.99908599999998,3181,946,1.6606947638899754
3883 CONNECTICUT AVENUE NW,"3883 Connecticut Avenue Northwest, Washington, DC","Beautiful, bright  1br with in-unit w/d and parking!  Enjoy a quiet space with all the perks of city living in this pristine unit, amenity-rich building and ultra-convenient city location.",1,1 Bedroom,2200,713,2,38.9401354,-77.0599093,5130,7124,-0.17946162699976542
3883 CONNECTICUT AVENUE NW,"3883 Connecticut Avenue Northwest, Washington, DC","Beautiful, bright  1br with in-unit w/d and parking!  Enjoy a quiet space with all the perks of city living in this pristine unit, amenity-rich building and ultra-convenient city location.",1,2 Bedrooms,2320,1106,3,38.9401354,-77.0599093,5130,7124,-0.10059778167591939
3418 BROWN STREET NW,"3418 Brown Street Northwest, Washington, DC","Huge and wonderfully sunny (1738 square feet!) large two bedroom duplex condo with three full bathrooms in the heart of Mount Pleasant. On a very quiet street, with a rear deck and private two car tandem parking in the back. No smokers.",1,2 Bedrooms,3495,1738,3,38.9344832,-77.0378003,4048,5547,0.6716107037867397
1 SCOTT CIRCLE NW,"1 Scott Circle Northwest, Washington, DC","TOP FLOOR! Large 1 Bedroom in Dupont! 682 Square Feet. Walk to Whole Foods, Starbucks, Metro's, 14th Street and more! Rent includes: HEAT/AC, CABLE/INTERNET, Gas, Water, Trash. Tenant pays electric, Ave. Electric: $35.",1,1 Bedroom,1950,571,2,38.9077775,-77.03609589999998,1080,3096,-0.343761304757778
542 24TH STREET NE,"542 24th Street Northeast, Washington, DC","Welcome home to this pristine, fully renovated row home in the heart of DC.  You~ll appreciate the thoughtful design the moment you step onto the inviting front porch.",1,3 Bedrooms,3875,1600,4,38.8971984,-76.97268840000002,5444,3210,0.9213462139789188
4114 NEW HAMPSHIRE AVENUE NW,"4114 New Hampshire Avenue Northwest, Washington, DC","Welcome Home! Located in the boutique Solidago - DC's first LEED Platinum development, this spacious and charming home merges classic rowhome living with luxury finishes.",1,2 Bedrooms,3000,1099,3,38.9413895,-77.02087850000002,4973,5799,0.3462973418258748
610 19TH STREET NE,"610 19th Street Northeast, Washington, DC","1BD/1BA available in historic Rosedale neighborhood. Bamboo floors and modern kitchenappliances. Wired forVerizon FIOS cable and internet. Close to major bus line, street car to UnionStation, easy access to H St, downtown, RFK.",1,1 Bedroom,1350,608,2,38.8971243,-76.977082,5063,2840,-0.7380805313770081
804 RHODE ISLAND AVENUE NW,"804 Rhode Island Avenue Northwest, Washington, DC","English basement in a two unit building including 2 Bedrooms, 1 Bathroom, Spacious Kitchen, W/D in unit. Does not feel like an English basement due to all the great natural light. Great Location in the heart of Rhode Island Ave.",1,2 Bedrooms,2150,830,3,38.911523,-77.02341190000001,1822,2710,-0.21232156255136794
804 RHODE ISLAND AVENUE NW,"804 Rhode Island Avenue Northwest, Washington, DC","English basement in a two unit building including 2 Bedrooms, 1 Bathroom, Spacious Kitchen, W/D in unit. Does not feel like an English basement due to all the great natural light. Great Location in the heart of Rhode Island Ave.",1,5 Bedrooms,4654,3137,6,38.911523,-77.02341190000001,1822,2710,1.433304009872886
4600 CONNECTICUT AVENUE NW,"4600 Connecticut Avenue Northwest, Washington, DC",AVAILABLE SEPTEMBER 1st! ALL UTILITIES INCLUDED IN RENT. Virtual tours only for the time being. Spacious light filled 2br / 2ba home with hardwood floors through out.,1,1 Bedroom,1651,719,2,38.95037410000001,-77.06786899999999,6452,8445,-0.540263719356361
4600 CONNECTICUT AVENUE NW,"4600 Connecticut Avenue Northwest, Washington, DC",AVAILABLE SEPTEMBER 1st! ALL UTILITIES INCLUDED IN RENT. Virtual tours only for the time being. Spacious light filled 2br / 2ba home with hardwood floors through out.,1,2 Bedrooms,2650,1049,3,38.95037410000001,-77.06786899999999,6452,8445,0.11627779296465719
4600 CONNECTICUT AVENUE NW,"4600 Connecticut Avenue Northwest, Washington, DC",AVAILABLE SEPTEMBER 1st! ALL UTILITIES INCLUDED IN RENT. Virtual tours only for the time being. Spacious light filled 2br / 2ba home with hardwood floors through out.,1,3 Bedrooms,2872,1714,4,38.95037410000001,-77.06786899999999,6452,8445,0.26217590681377234
1005 V STREET NW,"1005 V Street Northwest, Washington, DC","There will be no showings until 8/23, but the property can be viewed on Sunday 8/23 from 2-4PM or any time after by appointment. U St corridor, one block from U St metro!3 BD row house for rent.",1,3 Bedrooms,3600,1086,4,38.91828579999999,-77.02627109999997,2381,3491,0.7406165684451049
1348 EUCLID STREET NW,"1348 Euclid Street Northwest, Washington, DC",Welcome to Verona Parc.,1,3 Bedrooms,3450,1007,4,38.923571,-77.0310338,2857,4201,0.6420367617902974
1601 18TH STREET NW,"1601 18th Street Northwest, Washington, DC","Welcome to the heart of Dupont! This fully-renovated, large, studio has loads of natural light, a walk-in closet, shining hardwood floors, stainless steel appliances, granite countertops.",1,Studio,1675,406,1,38.9113109,-77.04123100000002,1554,3689,-0.5244909502915918
1601 18TH STREET NW,"1601 18th Street Northwest, Washington, DC","Welcome to the heart of Dupont! This fully-renovated, large, studio has loads of natural light, a walk-in closet, shining hardwood floors, stainless steel appliances, granite countertops.",1,1 Bedroom,1651,719,2,38.9113109,-77.04123100000002,1554,3689,-0.540263719356361
1230 HOLBROOK TERRACE NE,"1230 Holbrook Terrace NE, Washington, DC","Bright and spacious 2 bedroom apartment located in Trinidad near H Street, Union Market, Ivy City, Gallaudet and so much more! Close to public transportation and NoMa metro station.",1,1 Bedroom,1651,719,2,38.90737379999999,-76.98559270000001,4445,2768,-0.540263719356361
1230 HOLBROOK TERRACE NE,"1230 Holbrook Terrace NE, Washington, DC","Bright and spacious 2 bedroom apartment located in Trinidad near H Street, Union Market, Ivy City, Gallaudet and so much more! Close to public transportation and NoMa metro station.",1,2 Bedrooms,1750,830,3,38.90737379999999,-76.98559270000001,4445,2768,-0.475201046964188
1390 KENYON STREET NW,"1390 Kenyon Street Northwest, Washington, DC","Spacious one bedroom, one bathroom apartment in the Heart of Columbia Heights! This bright and spacious unit is located one block away from the metro and steps from various restaurants and stores.",1,1 Bedroom,2250,671,2,38.9297394,-77.03217839999998,3528,4859,-0.1466016914481629
1390 KENYON STREET NW,"1390 Kenyon Street Northwest, Washington, DC","Spacious one bedroom, one bathroom apartment in the Heart of Columbia Heights! This bright and spacious unit is located one block away from the metro and steps from various restaurants and stores.",1,2 Bedrooms,2320,1106,3,38.9297394,-77.03217839999998,3528,4859,-0.10059778167591939
730 24TH STREET NW,"730 24th Street Northwest, Washington, DC","Sunny, fully furnished one bedroom in town residence close to shops and restaurants.  Secure building with 24 hour concierge.  Huge bedroom features large walk in closet and plenty of light.",1,Studio,1311,480,1,38.8989336,-77.05172409999999,1416,3873,-0.763711281107258
730 24TH STREET NW,"730 24th Street Northwest, Washington, DC","Sunny, fully furnished one bedroom in town residence close to shops and restaurants.  Secure building with 24 hour concierge.  Huge bedroom features large walk in closet and plenty of light.",1,1 Bedroom,2400,730,2,38.8989336,-77.05172409999999,1416,3873,-0.04802188479335537
1133 14TH STREET NW,"1133 14th Street Northwest, Washington, DC","1 Bed, 1 Bath, 780 sf, 1 Garage Parking Space, In-Unit Washer & Dryer; LEED Certified Building; Built in 2006; Full-Time Concierge; Rooftop Deck w/ 360 degree Views; Party Room w/ Kitchen, Bathroom, Fireplace & Terrace; 2 Elevators; Underground ",1,Studio,1311,480,1,38.90470620000001,-77.03157740000002,810,2576,-0.763711281107258
1133 14TH STREET NW,"1133 14th Street Northwest, Washington, DC","1 Bed, 1 Bath, 780 sf, 1 Garage Parking Space, In-Unit Washer & Dryer; LEED Certified Building; Built in 2006; Full-Time Concierge; Rooftop Deck w/ 360 degree Views; Party Room w/ Kitchen, Bathroom, Fireplace & Terrace; 2 Elevators; Underground ",1,1 Bedroom,2650,707,2,38.90470620000001,-77.03157740000002,810,2576,0.11627779296465719
1133 14TH STREET NW,"1133 14th Street Northwest, Washington, DC","1 Bed, 1 Bath, 780 sf, 1 Garage Parking Space, In-Unit Washer & Dryer; LEED Certified Building; Built in 2006; Full-Time Concierge; Rooftop Deck w/ 360 degree Views; Party Room w/ Kitchen, Bathroom, Fireplace & Terrace; 2 Elevators; Underground ",1,2 Bedrooms,2320,1106,3,38.90470620000001,-77.03157740000002,810,2576,-0.10059778167591939
1930 18TH STREET NW,"1930 18th Street Northwest, Washington, DC","Spacious unit with high ceilings located in the sought after  Belgrade!  Fantastic location with city views! Freshly painted and ready for a new tenant. This gorgeous unit boasts a cozy fireplace, sleek wood floors,  and an updated kitchen and bath.",1,1 Bedroom,2450,659,2,38.9164092,-77.04176890000002,2109,4107,-0.015161949241752853
1930 18TH STREET NW,"1930 18th Street Northwest, Washington, DC","Spacious unit with high ceilings located in the sought after  Belgrade!  Fantastic location with city views! Freshly painted and ready for a new tenant. This gorgeous unit boasts a cozy fireplace, sleek wood floors,  and an updated kitchen and bath.",1,2 Bedrooms,2320,1106,3,38.9164092,-77.04176890000002,2109,4107,-0.10059778167591939
436 RIDGE STREET NW,"436 Ridge Street Northwest, Washington, DC",NEWLY AVAILABLE. 2 Bedroom/2 Bathroom Townhouse on a quiet non through street. Only 2 Blocks to Mount Vernon Convention Center train. Kitchen comes complete with granite counter tops and stainless steel appliances.  Washer/Dryer in unit.,1,2 Bedrooms,3250,1092,3,38.9062849,-77.017404,1811,1959,0.5105970195838874
1755 18TH STREET NW,"1755 18th Street Northwest, Washington, DC","LIVE IN THE HEART OF DUPONT! Pristine, bright and spacious 3 bedroom, 3 bathroom unit in the heart of Dupont Circle! Enjoy wonderful touches throughout including hardwood  floors, high ceilings, bay windows and a gas fireplace.",1,3 Bedrooms,7500,5420,4,38.913951,-77.04142940000001,1839,3895,3.303691541470101
1300 4TH STREET SE,"1300 4th Street Southwest, Washington, DC","New 2 bed 1 bath condo in the Bower, a luxury condo building in the sought after yards neighborhood. Spacious unit with an open floor plan, recessed lighting, modern kitchen with high end Bosch appliances, washer and dryer in the unit.",1,2 Bedrooms,3200,850,3,38.8746469,-77.0175505,3027,1879,0.4777370840322848
2030 F STREET NW,"2030 F Street Northwest, Washington, DC","**All Utilities Included** Newly renovated building in the heart of Foggy Bottom. Key location near The White House, The George Washington University, Georgetown University, The National Mall, and Downtown D.C.",1,Studio,1700,466,1,38.8971643,-77.0460986,930,3352,-0.5080609825157906
2030 F STREET NW,"2030 F Street Northwest, Washington, DC","**All Utilities Included** Newly renovated building in the heart of Foggy Bottom. Key location near The White House, The George Washington University, Georgetown University, The National Mall, and Downtown D.C.",1,1 Bedroom,1651,719,2,38.8971643,-77.0460986,930,3352,-0.540263719356361
2030 F STREET NW,"2030 F Street Northwest, Washington, DC","**All Utilities Included** Newly renovated building in the heart of Foggy Bottom. Key location near The White House, The George Washington University, Georgetown University, The National Mall, and Downtown D.C.",1,2 Bedrooms,2320,1106,3,38.8971643,-77.0460986,930,3352,-0.10059778167591939
1715 SWANN STREET NW,"1715 Swann Street Northwest, Washington, DC","(Showings from 9/1/20) Magnificent top-level 1BR + DEN in boutique Swann House Condominium. 839SqFt, 12 ft ceilings, gorgeous hardwood floors, coat closet, LR with marble wood burning
fireplace, separate dining area, walls of windows facing south.",1,1 Bedroom,2550,847,2,38.9150481,-77.03942679999999,1917,3857,0.05055792186145217
1816 NEW HAMPSHIRE AVENUE NW,"1816 New Hampshire Avenue Northwest, Washington, DC",PRICE REDUCTION! WoW!  $1625 and ALL UTILITIES INCLUDED!!! ***Located in DC's coveted Dupont Circle  neighborhood!   AVAILABLE NOW***Charming STUDIO offers URBAN convenience***  Freshly painted (this past year) with an OPEN Living Area with WOOD ,1,Studio,1625,379,1,38.91489310000001,-77.03877059999998,1890,3805,-0.5573508858431944
728 INGRAHAM STREET NW,"728 Ingraham Street Northwest, Washington, DC",**Open House Wednesday 8/19 from 4-6pm***  Fully renovated townhome w/ large OUTDOOR private deck and yard!!   3BR up w/ spacious LL for 4th BR if needed.,1,4 Bedrooms,4200,1665,5,38.953952,-77.023246,6294,7207,1.134935795064335
3269 SUTTON PLACE NW,"3269 Sutton Place Northwest, Washington, DC","Upper level townhome with rare balcony in sought after Sutton Place. Newly renovated kitchen features white soft-close shaker cabinets, gorgeous Quartz counters, stainless steel Samsung appliances and new ceramic tile flooring.",1,2 Bedrooms,3500,1332,3,38.9333838,-77.0835623,5727,8091,0.6748966973418999
1400 CHURCH STREET NW,"1400 Church Street Northwest, Washington, DC","Logan Circle Corner Penthouse: 2 BD, 2 BA, 1,250 sf, 1 Storage Unit, Garage Parking available for $250/month, 60'x5' Wrap Around Terrace, Oversized Windows, 10 ft Ceilings , Hardwood Floors Throughout, 2 Walk-in Custom Elfa Closets, All Halogen ",1,1 Bedroom,1651,719,2,38.9102195,-77.03232659999998,1376,3044,-0.540263719356361
1400 CHURCH STREET NW,"1400 Church Street Northwest, Washington, DC","Logan Circle Corner Penthouse: 2 BD, 2 BA, 1,250 sf, 1 Storage Unit, Garage Parking available for $250/month, 60'x5' Wrap Around Terrace, Oversized Windows, 10 ft Ceilings , Hardwood Floors Throughout, 2 Walk-in Custom Elfa Closets, All Halogen ",1,2 Bedrooms,4700,1206,3,38.9102195,-77.03232659999998,1376,3044,1.4635351505803602
1300 35TH STREET NW,"1300 35th Street Northwest, Washington, DC","Sun kissed spacious studio with separate eat-in kitchen & lovely private deck! Prime historic Georgetown location.  Quiet 5 unit boutique federal style building. Hardwood floors, large windows, free W/D in the building. Walk to G-town U., M st.",1,Studio,1760,550,1,38.9068551,-77.06919559999999,3087,5582,-0.46862905985386755
1300 35TH STREET NW,"1300 35th Street Northwest, Washington, DC","Sun kissed spacious studio with separate eat-in kitchen & lovely private deck! Prime historic Georgetown location.  Quiet 5 unit boutique federal style building. Hardwood floors, large windows, free W/D in the building. Walk to G-town U., M st.",1,1 Bedroom,1651,719,2,38.9068551,-77.06919559999999,3087,5582,-0.540263719356361
1300 35TH STREET NW,"1300 35th Street Northwest, Washington, DC","Sun kissed spacious studio with separate eat-in kitchen & lovely private deck! Prime historic Georgetown location.  Quiet 5 unit boutique federal style building. Hardwood floors, large windows, free W/D in the building. Walk to G-town U., M st.",1,2 Bedrooms,2320,1106,3,38.9068551,-77.06919559999999,3087,5582,-0.10059778167591939
1822 VERNON STREET NW,"1822 Vernon Street Northwest, Washington, DC","REDUCED $2,350, SHORT  TERM RENTAL CONSIDERED ****ATTENTION****$500 off of first months rent  w/ Sept 1st lease, Pets considered,,   tenant can choose paint color, Discover the best of Washington, move in today, with this furnished apartment, or ",1,1 Bedroom,2350,628,2,38.9167449,-77.04257129999998,2164,4182,-0.08088182034495787
4214 EMBASSY PARK DRIVE NW,"4214 Embassy Park Drive Northwest, Washington, DC","Prime Location with Parking. Walk to Grocery/Shopping, Restaurants, and More. Enjoy one of the largest townhouses in a professionally managed association with POOL and TENNIS COURTS.  Four Finished Levels.",1,3 Bedrooms,5199,2276,4,38.9341172,-77.0830378,5750,8104,1.7914773073853534
29 RHODE ISLAND AVENUE NW,"29 Rhode Island Avenue Northwest, Washington, DC",A spacious 1 bedroom/1 bathroom unit in the heart of the highly desirable Bloomingdale neighborhood. Updated with a large open kitchen/ dining/ living room that is perfect for entertaining.,1,Studio,1311,480,1,38.91666499999999,-77.01031499999998,3002,2958,-0.763711281107258
29 RHODE ISLAND AVENUE NW,"29 Rhode Island Avenue Northwest, Washington, DC",A spacious 1 bedroom/1 bathroom unit in the heart of the highly desirable Bloomingdale neighborhood. Updated with a large open kitchen/ dining/ living room that is perfect for entertaining.,1,1 Bedroom,1595,717,2,38.91666499999999,-77.01031499999998,3002,2958,-0.5770668471741558
631 D STREET NW,"631 D Street Northwest, Washington, DC","AVAILABLE END OF AUGUST..  Spacious two bedroom/ 2 level condo in sought after Penn Quarter!  Fantastic unit boasts 2 balconies overlooking the lush courtyard, stainless steel appliances, granite counters and cherry cabinets.",1,Studio,1311,480,1,38.8953272,-77.02106850000001,1282,1234,-0.763711281107258
631 D STREET NW,"631 D Street Northwest, Washington, DC","AVAILABLE END OF AUGUST..  Spacious two bedroom/ 2 level condo in sought after Penn Quarter!  Fantastic unit boasts 2 balconies overlooking the lush courtyard, stainless steel appliances, granite counters and cherry cabinets.",1,1 Bedroom,1651,719,2,38.8953272,-77.02106850000001,1282,1234,-0.540263719356361
631 D STREET NW,"631 D Street Northwest, Washington, DC","AVAILABLE END OF AUGUST..  Spacious two bedroom/ 2 level condo in sought after Penn Quarter!  Fantastic unit boasts 2 balconies overlooking the lush courtyard, stainless steel appliances, granite counters and cherry cabinets.",1,2 Bedrooms,3550,1160,3,38.8953272,-77.02106850000001,1282,1234,0.7077566328935024
2130 N STREET NW,"2130 N Street Northwest, Washington, DC","LOCATION, LOCATION, LOCATION, GREAT RENTAL OPPORTUNITY IN DUPONT/ WEST-END FOR A FULLY FURNISHED AND RENOVATED 1 BEDROOM, NEW BATH UNIT WITH GRANITE COUNTERS, BREAKFAST BAR, DESK AREA, DINING AREA, BUILT-INS, WOOD FLOORS AND PLENTY OF CLOSET SPACE.",1,Studio,1311,480,1,38.9070037,-77.0481302,1482,3916,-0.763711281107258
2130 N STREET NW,"2130 N Street Northwest, Washington, DC","LOCATION, LOCATION, LOCATION, GREAT RENTAL OPPORTUNITY IN DUPONT/ WEST-END FOR A FULLY FURNISHED AND RENOVATED 1 BEDROOM, NEW BATH UNIT WITH GRANITE COUNTERS, BREAKFAST BAR, DESK AREA, DINING AREA, BUILT-INS, WOOD FLOORS AND PLENTY OF CLOSET SPACE.",1,1 Bedroom,2500,510,2,38.9070037,-77.0481302,1482,3916,0.01769798630984966
2500 VIRGINIA AVENUE NW,"2500 Virginia Avenue Northwest, Washington, DC","To take a 3D virtual walkthrough, visit https://www.winstonre.com/901-s-watergate-east-rental! Great 2 bedroom, 2 bath with direct Potomac River View.  Enjoy magnificent sunsets.  Long and wide  tiled balcony.",1,2 Bedrooms,7400,1588,3,38.8986969,-77.0542554,1634,4080,3.2379716703668957
1831 2ND STREET NE,"1831 2nd Street Northeast, Washington, DC","Spacious and contemporary top floor condo in Eckington. The condo is completely turn key. An open concept kitchen, dining, and living room contains stainless steel appliances, hardwood floors, granite countertops, and in unit washer/dryer.",1,1 Bedroom,1975,557,2,38.9152236,-77.0032489,3380,2832,-0.32733133698197675
300 M STREET SW,"300 M Street Southwest, Washington, DC","Incredible opportunity to live just blocks from all that the Wharf and the Yards have to offer.   Stunning renovation, with new kitchen, bathroom, paint, and floors.  Enjoy celebrating a Nats win complete with fireworks from your own private balcony.",1,Studio,1311,480,1,38.8759398,-77.0164585,2956,1709,-0.763711281107258
300 M STREET SW,"300 M Street Southwest, Washington, DC","Incredible opportunity to live just blocks from all that the Wharf and the Yards have to offer.   Stunning renovation, with new kitchen, bathroom, paint, and floors.  Enjoy celebrating a Nats win complete with fireworks from your own private balcony.",1,1 Bedroom,2250,804,2,38.8759398,-77.0164585,2956,1709,-0.1466016914481629
2515 K STREET NW,"2515 K Street Northwest, Washington, DC","Beautiful one bedroom, high floor, with expansive Cathedral Views. Corner unit, with separate dining alcove. Building offers roofdeck with panoramic view of Potomac, Key Bridge and Georgetown and tree shaded garden with BBQ. All Utilities included.",1,Studio,1311,480,1,38.902891,-77.0539053,1689,4185,-0.763711281107258
2515 K STREET NW,"2515 K Street Northwest, Washington, DC","Beautiful one bedroom, high floor, with expansive Cathedral Views. Corner unit, with separate dining alcove. Building offers roofdeck with panoramic view of Potomac, Key Bridge and Georgetown and tree shaded garden with BBQ. All Utilities included.",1,1 Bedroom,1900,575,2,38.902891,-77.0539053,1689,4185,-0.3766212403093805
1721 4TH STREET NW,"1721 4th Street Northwest, Washington, DC","Perfectly situated  on the border of Bloomingale/Truxton, this ideal location offers easy access to downtown, Capitol Hill, H Street, Shaw and Logan Circle neighborhoods.",1,2 Bedrooms,3950,1600,3,38.9132914,-77.01600140000002,2387,2660,0.9706361173063225
1015 33RD STREET NW,"1015 33rd Street Northwest, Washington, DC",One of a kind and dramatic 2-story 2BR+2.5BA PENTHOUSE in the heart of Georgetown by the Potomac River. King size bedrooms. Luxury baths with jacuzzi tub and separate showers. Washer & Dryer in the unit. Gourmet kitchen.,1,1 Bedroom,1651,719,2,38.9036648,-77.06562059999997,2691,5176,-0.540263719356361
1015 33RD STREET NW,"1015 33rd Street Northwest, Washington, DC",One of a kind and dramatic 2-story 2BR+2.5BA PENTHOUSE in the heart of Georgetown by the Potomac River. King size bedrooms. Luxury baths with jacuzzi tub and separate showers. Washer & Dryer in the unit. Gourmet kitchen.,1,2 Bedrooms,6000,2018,3,38.9036648,-77.06562059999997,2691,5176,2.3178934749220255
2022 COLUMBIA ROAD NW,"2022 Columbia Road Northwest, Washington, DC","*Available 08/15/20* You will love this spacious 2 bedroom 1 bath unit in the historic Wyoming building in the heart of Kalorama, offering the perfect blend of historic charm and modern living.",1,1 Bedroom,1651,719,2,38.9170409,-77.04538240000002,2276,4380,-0.540263719356361
2022 COLUMBIA ROAD NW,"2022 Columbia Road Northwest, Washington, DC","*Available 08/15/20* You will love this spacious 2 bedroom 1 bath unit in the historic Wyoming building in the heart of Kalorama, offering the perfect blend of historic charm and modern living.",1,2 Bedrooms,2950,1024,3,38.9170409,-77.04538240000002,2276,4380,0.31343740627427225
1710 H STREET NW,"1710 H Street Northwest, Washington, DC","Welcome to your stay at AKA White House's fully furnished suites!  AKA White House is centrally located just two blocks from the nation~s most important residential address, as well as in close proximity to many noteworthy business and arts ",1,1 Bedroom,3000,814,2,38.8999466,-77.04037509999998,476,2971,0.3462973418258748
Albemarle,"1830 17th Street Northwest, Washington, DC","Fantastic unit in the heart of Dupont. Charming pre-war building, nicely updated. Bright and clean, beautiful hardwoods, laundry in unit.",1,1 Bedroom,2400,694,2,38.91534420000001,-77.03864859999999,1938,3834,-0.04802188479335537
1322 15TH STREET NW,"1322 15th Street Northwest, Washington, DC","Super chic European style pied-a-terre--Location, Location, Location! Smartly renovated from top-to-bottom, clever built-ins & storage, excellent use of space.  Bathroom has walk-in shower and towel warming bar.",1,Studio,1795,350,1,38.9082449,-77.03459889999998,1132,3031,-0.44562710496774577
1322 15TH STREET NW,"1322 15th Street Northwest, Washington, DC","Super chic European style pied-a-terre--Location, Location, Location! Smartly renovated from top-to-bottom, clever built-ins & storage, excellent use of space.  Bathroom has walk-in shower and towel warming bar.",1,1 Bedroom,1651,719,2,38.9082449,-77.03459889999998,1132,3031,-0.540263719356361
2107 S STREET NW,"2107 S Street Northwest, Washington, DC","**VACANT AND EASY TO SHOW**Amazing Luxury PENTHOUSE apartment with PRIVATE ELEVATOR and PRIVATE ROOFTOP DECK. One of a kind, two-bedroom apartment located in the heart of DUPONT/KALORAMA.",1,1 Bedroom,1651,719,2,38.9142265,-77.04683320000002,2049,4270,-0.540263719356361
